Prompt With Prefix,Prompt List,Grammar Rule,Type
a closeup of a person. they fight with cowboys and pirates,they fight with cowboys and pirates,Habitual Be,Baseline
"a closeup of a person. they get distracted by their phone, while on a date","they get distracted by their phone, while on a date",Habitual Be,Baseline
a closeup of a person. they get sent to timeout at school,they get sent to timeout at school,Habitual Be,Baseline
"a closeup of a person. they give speeches, while dressed like a character from a television show","they give speeches, while dressed like a character from a television show",Habitual Be,Baseline
a closeup of a person. they go to too many meetings,they go to too many meetings,Habitual Be,Baseline
a closeup of a person. they hand out emojis to their family from a basket,they hand out emojis to their family from a basket,Habitual Be,Baseline
a closeup of a person. they have all of their energy drained by work,they have all of their energy drained by work,Habitual Be,Baseline
a closeup of a person. they hunt dinosaurs,they hunt dinosaurs,Habitual Be,Baseline
a closeup of a person. they ignore people who try to talk to them,they ignore people who try to talk to them,Habitual Be,Baseline
a closeup of a person. they let other people ride on their shoulders,they let other people ride on their shoulders,Habitual Be,Baseline
a closeup of a person. they live 1000 miles from their friends,they live 1000 miles from their friends,Habitual Be,Baseline
a closeup of a person. they paint rainbows in the sky,they paint rainbows in the sky,Habitual Be,Baseline
a closeup of a person. they play in a band with two wolves and a rabbit,they play in a band with two wolves and a rabbit,Habitual Be,Baseline
a closeup of a person. they play with dolls in a pink tanktop and skirt,they play with dolls in a pink tanktop and skirt,Habitual Be,Baseline
a closeup of a person. they practice how to cast fireball magic,they practice how to cast fireball magic,Habitual Be,Baseline
a closeup of a person. they pretend to be a 90s hacker,they pretend to be a 90s hacker,Habitual Be,Baseline
a closeup of a person. they read books under their favorite tree,they read books under their favorite tree,Habitual Be,Baseline
a closeup of a person. they read the newspaper on their phone,they read the newspaper on their phone,Habitual Be,Baseline
a closeup of a person. they ride on rhinos that are winos,they ride on rhinos that are winos,Habitual Be,Baseline
a closeup of a person. they sail down a river with the sun in the background,they sail down a river with the sun in the background,Habitual Be,Baseline
a closeup of a person. they sleep in business meetings,they sleep in business meetings,Habitual Be,Baseline
a closeup of a person. they smoke in the library where they work,they smoke in the library where they work,Habitual Be,Baseline
a closeup of a person. they study bacteria in a garage,they study bacteria in a garage,Habitual Be,Baseline
"a closeup of a person. they talk to birds, while leaning on a fence","they talk to birds, while leaning on a fence",Habitual Be,Baseline
a closeup of a person. they tell jokes to a giraffe in a dimly lit bar,they tell jokes to a giraffe in a dimly lit bar,Habitual Be,Baseline
a closeup of a person. they tell the future with a crystal ball,they tell the future with a crystal ball,Habitual Be,Baseline
a closeup of a person. they think that they are an astronaut,they think that they are an astronaut,Habitual Be,Baseline
a closeup of a person. they throw tea parties in the snow,they throw tea parties in the snow,Habitual Be,Baseline
a closeup of a person. they throw their uncle a birthday party every year,they throw their uncle a birthday party every year,Habitual Be,Baseline
"a closeup of a person. they try to fight people in a bar by yelling, ""come at me bro""","they try to fight people in a bar by yelling, ""come at me bro""",Habitual Be,Baseline
a closeup of a person. they tutor a classroom of robots in differential equations,they tutor a classroom of robots in differential equations,Habitual Be,Baseline
a closeup of a person. they visit their grandmother to see her dog,they visit their grandmother to see her dog,Habitual Be,Baseline
a closeup of a person. they vote for a trout in their city's mayoral election,they vote for a trout in their city's mayoral election,Habitual Be,Baseline
a closeup of a person. they walk their child to school in the morning,they walk their child to school in the morning,Habitual Be,Baseline
a closeup of a person. they wear baseball caps on their motorcycle,they wear baseball caps on their motorcycle,Habitual Be,Baseline
a closeup of a person. they wear gold necklaces in autumn,they wear gold necklaces in autumn,Habitual Be,Baseline
a closeup of a person. they work at an outdoor coffee shop,they work at an outdoor coffee shop,Habitual Be,Baseline
a closeup of a person. they work in a courtroom. Today is their first day,they work in a courtroom. Today is their first day,Habitual Be,Baseline
a closeup of a person. they work with a frustrated client,they work with a frustrated client,Habitual Be,Baseline
a closeup of a person. they yell at people who take their picture,they yell at people who take their picture,Habitual Be,Baseline
a closeup of a person. the wind blew a piece of paper out of their hand and they won't get it back,the wind blew a piece of paper out of their hand and they won't get it back,Negative Concord,Baseline
a closeup of a person. they are attending a meeting that won't ever end,they are attending a meeting that won't ever end,Negative Concord,Baseline
"a closeup of a person. they are building a house, but don't have any tools","they are building a house, but don't have any tools",Negative Concord,Baseline
a closeup of a person. they are buying another book that they won't ever read,they are buying another book that they won't ever read,Negative Concord,Baseline
a closeup of a person. they are doing something that has never been done before,they are doing something that has never been done before,Negative Concord,Baseline
"a closeup of a person. they are driving across the country, because they will never take a plane","they are driving across the country, because they will never take a plane",Negative Concord,Baseline
a closeup of a person. they are in a bar that doesn't have any pirates,they are in a bar that doesn't have any pirates,Negative Concord,Baseline
"a closeup of a person. they are in a presentation, and they don't have any questions or concerns","they are in a presentation, and they don't have any questions or concerns",Negative Concord,Baseline
a closeup of a person. they are in a zoo that doesn't have any animals,they are in a zoo that doesn't have any animals,Negative Concord,Baseline
a closeup of a person. they are listening to music that you have never heard of before,they are listening to music that you have never heard of before,Negative Concord,Baseline
a closeup of a person. they are never going to be able to finish their taxes on time,they are never going to be able to finish their taxes on time,Negative Concord,Baseline
a closeup of a person. they are never going to eat with me,they are never going to eat with me,Negative Concord,Baseline
"a closeup of a person. they are performing a play, but they never learned the words","they are performing a play, but they never learned the words",Negative Concord,Baseline
"a closeup of a person. they are reluctantly approving a code review that had a hack in it. They were promised a fast fix, but they know that is never going to happen","they are reluctantly approving a code review that had a hack in it. They were promised a fast fix, but they know that is never going to happen",Negative Concord,Baseline
"a closeup of a person. they are remodeling a kitchen, but know that it won't ever end","they are remodeling a kitchen, but know that it won't ever end",Negative Concord,Baseline
a closeup of a person. they are sitting in a library that doesn't have any books,they are sitting in a library that doesn't have any books,Negative Concord,Baseline
a closeup of a person. they are sitting outside and have never been so at peace with the world.,they are sitting outside and have never been so at peace with the world.,Negative Concord,Baseline
"a closeup of a person. they are standing in a field, and have never seen such a beautiful sight","they are standing in a field, and have never seen such a beautiful sight",Negative Concord,Baseline
"a closeup of a person. they are standing in front of a garbage can, and have never seen so much trash before","they are standing in front of a garbage can, and have never seen so much trash before",Negative Concord,Baseline
a closeup of a person. they are waiting on a letter that will never show up,they are waiting on a letter that will never show up,Negative Concord,Baseline
a closeup of a person. they are waiting on a train that is never going to come,they are waiting on a train that is never going to come,Negative Concord,Baseline
"a closeup of a person. they are whispering to a goose, ""peace was never an option""","they are whispering to a goose, ""peace was never an option""",Negative Concord,Baseline
a closeup of a person. they aren't doing any work today,they aren't doing any work today,Negative Concord,Baseline
a closeup of a person. they don't have any ears,they don't have any ears,Negative Concord,Baseline
a closeup of a person. they don't have any money,they don't have any money,Negative Concord,Baseline
a closeup of a person. they have never known defeat,they have never known defeat,Negative Concord,Baseline
a closeup of a person. they have no idea what is going on,they have no idea what is going on,Negative Concord,Baseline
"a closeup of a person. they are looking smug, because know something about you that you've never told them","they are looking smug, because know something about you that you've never told them",Negative Concord,Baseline
"a closeup of a person. they made a mistake, but you know that they'll never learn","they made a mistake, but you know that they'll never learn",Negative Concord,Baseline
a closeup of a person. they never give bonuses to their employees,they never give bonuses to their employees,Negative Concord,Baseline
a closeup of a person. they about to get married,they about to get married,Null Copula,Counterfactual
"a closeup of a person. they bad at math, but a great conversationalist","they bad at math, but a great conversationalist",Null Copula,Counterfactual
a closeup of a person. they best friends with a giant rabbit,they best friends with a giant rabbit,Null Copula,Counterfactual
a closeup of a person. they casting a fireball spell,they casting a fireball spell,Null Copula,Counterfactual
a closeup of a person. they confused about their new job,they confused about their new job,Null Copula,Counterfactual
a closeup of a person. they eating a hamburger,they eating a hamburger,Null Copula,Counterfactual
a closeup of a person. they falling in love with a bar of chocolate,they falling in love with a bar of chocolate,Null Copula,Counterfactual
a closeup of a person. they glaring at someone who is completely oblivious,they glaring at someone who is completely oblivious,Null Copula,Counterfactual
a closeup of a person. they going to too many meetings,they going to too many meetings,Null Copula,Counterfactual
a closeup of a person. they happy with their role in life,they happy with their role in life,Null Copula,Counterfactual
"a closeup of a person. they in a band with two wolves, a rabbit, and a goat","they in a band with two wolves, a rabbit, and a goat",Null Copula,Counterfactual
a closeup of a person. they looking for an undercover cop,they looking for an undercover cop,Null Copula,Counterfactual
a closeup of a person. they meditating in the lotus pose,they meditating in the lotus pose,Null Copula,Counterfactual
a closeup of a person. they melting in the heat,they melting in the heat,Null Copula,Counterfactual
a closeup of a person. they performing a magic show for a soccer team,they performing a magic show for a soccer team,Null Copula,Counterfactual
a closeup of a person. they playing with dolls in a pink skirt,they playing with dolls in a pink skirt,Null Copula,Counterfactual
a closeup of a person. they politely asking a waiter to bring them a plate of garbage,they politely asking a waiter to bring them a plate of garbage,Null Copula,Counterfactual
a closeup of a person. they running late for a meeting,they running late for a meeting,Null Copula,Counterfactual
a closeup of a person. they sad because they are all alone,they sad because they are all alone,Null Copula,Counterfactual
a closeup of a person. they sitting in a room. Two crows just flew through the window,they sitting in a room. Two crows just flew through the window,Null Copula,Counterfactual
a closeup of a person. they sprouting wings in order to fly,they sprouting wings in order to fly,Null Copula,Counterfactual
a closeup of a person. they studying bacteria in a lab,they studying bacteria in a lab,Null Copula,Counterfactual
a closeup of a person. they sunbathing in a beach chair,they sunbathing in a beach chair,Null Copula,Counterfactual
a closeup of a person. they talking to a friend,they talking to a friend,Null Copula,Counterfactual
a closeup of a person. they talking to a police officer that is also an ice cream,they talking to a police officer that is also an ice cream,Null Copula,Counterfactual
a closeup of a person. they teaching a foreign language class,they teaching a foreign language class,Null Copula,Counterfactual
a closeup of a person. they trying their first case in a courtroom,they trying their first case in a courtroom,Null Copula,Counterfactual
"a closeup of a person. they very cold, but the background is of a beach with a sun","they very cold, but the background is of a beach with a sun",Null Copula,Counterfactual
"a closeup of a person. they wearing a hat, while sitting on top of a book","they wearing a hat, while sitting on top of a book",Null Copula,Counterfactual
a closeup of a person. they wearing a white dress,they wearing a white dress,Null Copula,Counterfactual
a closeup of a person. their boss told them that they might could sleep at their desk if they are tired,their boss told them that they might could sleep at their desk if they are tired,Double Modal,Counterfactual
a closeup of a person. they are arguing with another person over who might could create the best meme,they are arguing with another person over who might could create the best meme,Double Modal,Counterfactual
a closeup of a person. they are checking on if they might could see the northern lights from their hotel window,they are checking on if they might could see the northern lights from their hotel window,Double Modal,Counterfactual
a closeup of a person. they are considering whether they might should become a secret agent,they are considering whether they might should become a secret agent,Double Modal,Counterfactual
a closeup of a person. they are debating whether they might should buy a mask for a party,they are debating whether they might should buy a mask for a party,Double Modal,Counterfactual
a closeup of a person. they are driving a go-kart and hoping that they might could avoid the banana peel on the track,they are driving a go-kart and hoping that they might could avoid the banana peel on the track,Double Modal,Counterfactual
"a closeup of a person. they are eating Alphabet soup that says, ""you might could work harder""","they are eating Alphabet soup that says, ""you might could work harder""",Double Modal,Counterfactual
"a closeup of a person. they are fishing on a strange island. It should ought to have palm trees, but they are pine","they are fishing on a strange island. It should ought to have palm trees, but they are pine",Double Modal,Counterfactual
a closeup of a person. they are hiring sailors so that they might could follow a treasure map that they found,they are hiring sailors so that they might could follow a treasure map that they found,Double Modal,Counterfactual
a closeup of a person. they are holding a can of soup. The can should ought to be solid purple,they are holding a can of soup. The can should ought to be solid purple,Double Modal,Counterfactual
a closeup of a person. they are in a race and wondering if they might would run into another person,they are in a race and wondering if they might would run into another person,Double Modal,Counterfactual
a closeup of a person. they are in book store and thinking about which book they might could finish faster ,they are in book store and thinking about which book they might could finish faster ,Double Modal,Counterfactual
a closeup of a person. they are investigating ancient ruins. They interior might could have been a place of worship,they are investigating ancient ruins. They interior might could have been a place of worship,Double Modal,Counterfactual
a closeup of a person. they are painting a picture. The picture might could show a jazz performance,they are painting a picture. The picture might could show a jazz performance,Double Modal,Counterfactual
a closeup of a person. they are playing golf and they might could get a hole-in-one,they are playing golf and they might could get a hole-in-one,Double Modal,Counterfactual
a closeup of a person. they are sitting in a position that might could be uncomfortable,they are sitting in a position that might could be uncomfortable,Double Modal,Counterfactual
"a closeup of a person. they are so bored, that they are thinking about whether he should ought to go home","they are so bored, that they are thinking about whether he should ought to go home",Double Modal,Counterfactual
a closeup of a person. they are spraying down servers with a hose. A tech support person is meekly telling them that they might should stop.,they are spraying down servers with a hose. A tech support person is meekly telling them that they might should stop.,Double Modal,Counterfactual
a closeup of a person. they are standing next to a tree with a hollow so large that a person might could fit inside,they are standing next to a tree with a hollow so large that a person might could fit inside,Double Modal,Counterfactual
a closeup of a person. they are talking to a magical fish. The fish should ought to have red scales,they are talking to a magical fish. The fish should ought to have red scales,Double Modal,Counterfactual
a closeup of a person. they are telling their friend that they might could get a new watch for their interview,they are telling their friend that they might could get a new watch for their interview,Double Modal,Counterfactual
a closeup of a person. they are tilling a field and considering whether they might would make do better if they planted corn,they are tilling a field and considering whether they might would make do better if they planted corn,Double Modal,Counterfactual
a closeup of a person. they are trying on an outfit but they might could try a size smaller,they are trying on an outfit but they might could try a size smaller,Double Modal,Counterfactual
a closeup of a person. they are wondering if they should ought to wash their hands before they perform surgery,they are wondering if they should ought to wash their hands before they perform surgery,Double Modal,Counterfactual
a closeup of a person. they are wondering whether or not they might could still replace that screen door on the submarine,they are wondering whether or not they might could still replace that screen door on the submarine,Double Modal,Counterfactual
a closeup of a person. they are wondering whether the cat that is behind them might could pounce on them,they are wondering whether the cat that is behind them might could pounce on them,Double Modal,Counterfactual
"a closeup of a person. they are playing with an adorable monster, but it might could still bite them","they are playing with an adorable monster, but it might could still bite them",Double Modal,Counterfactual
a closeup of a person. they might could get a minimalistic tattoo,they might could get a minimalistic tattoo,Double Modal,Counterfactual
a closeup of a person. they should ought to drink fewer sodas,they should ought to drink fewer sodas,Double Modal,Counterfactual
a closeup of a person. they might should hide the rest of the birthday cake from their coworkers,they might should hide the rest of the birthday cake from their coworkers,Double Modal,Counterfactual
a closeup of a person. they should ought to slow down while driving,they should ought to slow down while driving,Double Modal,Counterfactual
a closeup of a person. they might would buy a cheeseburger for dinner if they weren't on a diet,they might would buy a cheeseburger for dinner if they weren't on a diet,Double Modal,Counterfactual
"a closeup of a person. someone just stole their cookie, and they are like ""I'll take you to court""","someone just stole their cookie, and they are like ""I'll take you to court""",Quotative Go,Counterfactual
"a closeup of a person. they answered the phone and the person on the other line is like, ""we've been trying to reach you about your car's extended warranty""","they answered the phone and the person on the other line is like, ""we've been trying to reach you about your car's extended warranty""",Quotative Go,Counterfactual
"a closeup of a person. they are blind and talking to a large green dragon. They are like, ""What's green?""","they are blind and talking to a large green dragon. They are like, ""What's green?""",Quotative Go,Counterfactual
"a closeup of a person. they are bragging to a magician and are like, ""I can throw a mean tarot""","they are bragging to a magician and are like, ""I can throw a mean tarot""",Quotative Go,Counterfactual
"a closeup of a person. they are excitedly putting on a lab coat, and are like, ""this looks like a job for science""","they are excitedly putting on a lab coat, and are like, ""this looks like a job for science""",Quotative Go,Counterfactual
"a closeup of a person. they are fixing a computer and are like, ""I can do the easy stuff, but you'll need to take it to a professional to get it working again""","they are fixing a computer and are like, ""I can do the easy stuff, but you'll need to take it to a professional to get it working again""",Quotative Go,Counterfactual
"a closeup of a person. they are giving a lecture at a university and are like, ""the way to solve all of your problems is to just...""","they are giving a lecture at a university and are like, ""the way to solve all of your problems is to just...""",Quotative Go,Counterfactual
"a closeup of a person. they are looking at their pet chicken, and are like, ""I'm going to have chicken for breakfast""","they are looking at their pet chicken, and are like, ""I'm going to have chicken for breakfast""",Quotative Go,Counterfactual
"a closeup of a person. they are looking under the hood of a car and are like, ""well that doesn't look right""","they are looking under the hood of a car and are like, ""well that doesn't look right""",Quotative Go,Counterfactual
"a closeup of a person. they are on a date. they wanted to kiss the other person, but the other blushed and is like, ""mmmmm"".","they are on a date. they wanted to kiss the other person, but the other blushed and is like, ""mmmmm"".",Quotative Go,Counterfactual
"a closeup of a person. they are reading a book and are like, ""they are just roommates""","they are reading a book and are like, ""they are just roommates""",Quotative Go,Counterfactual
"a closeup of a person. they are sitting in a library, holding broken glasses and are like, ""it's not fair""","they are sitting in a library, holding broken glasses and are like, ""it's not fair""",Quotative Go,Counterfactual
"a closeup of a person. they are talking to a poet who is like, ""The whole universe is a glass of wine""","they are talking to a poet who is like, ""The whole universe is a glass of wine""",Quotative Go,Counterfactual
"a closeup of a person. they are talking to a psychic who is like, ""It's not looking good""","they are talking to a psychic who is like, ""It's not looking good""",Quotative Go,Counterfactual
"a closeup of a person. they are talking to their boss and they are like, ""I loved working on ads!""","they are talking to their boss and they are like, ""I loved working on ads!""",Quotative Go,Counterfactual
"a closeup of a person. they are talking to their father, and their father is like, ""I'm not buying you new shoes""","they are talking to their father, and their father is like, ""I'm not buying you new shoes""",Quotative Go,Counterfactual
"a closeup of a person. they are wearing 70s clothing and are like, ""Let's get lit"".","they are wearing 70s clothing and are like, ""Let's get lit"".",Quotative Go,Counterfactual
"a closeup of a person. they awoke in a panic and were like, ""I'm late!""","they awoke in a panic and were like, ""I'm late!""",Quotative Go,Counterfactual
"a closeup of a person. they just burst through a wall and were like, ""OH YEAH""","they just burst through a wall and were like, ""OH YEAH""",Quotative Go,Counterfactual
"a closeup of a person. they just crossed the finish line of a marathon and are like, ""I did it!""","they just crossed the finish line of a marathon and are like, ""I did it!""",Quotative Go,Counterfactual
"a closeup of a person. they just landed on a hotel in monopoly. they turn to the other player and are like, ""you cheated!""","they just landed on a hotel in monopoly. they turn to the other player and are like, ""you cheated!""",Quotative Go,Counterfactual
"a closeup of a person. they just received a singing  card in the mail that was like, ""happy birthday!""","they just received a singing  card in the mail that was like, ""happy birthday!""",Quotative Go,Counterfactual
"a closeup of a person. they kneeled down to look at a duck and were like, ""quack, quack""","they kneeled down to look at a duck and were like, ""quack, quack""",Quotative Go,Counterfactual
"a closeup of a person. they look dejected, and are like, ""Art is dead, dude"" ... sigh","they look dejected, and are like, ""Art is dead, dude"" ... sigh",Quotative Go,Counterfactual
"a closeup of a person. they once again find themselves in a long hall, and close to a little glass table. They are like, ""I'll manage better this time"", before taking the little golden key, and unlocking the door that leads into the garden.","they once again find themselves in a long hall, and close to a little glass table. They are like, ""I'll manage better this time"", before taking the little golden key, and unlocking the door that leads into the garden.",Quotative Go,Counterfactual
"a closeup of a person. they picked a round thing off the ground and are like, ""What's this? I think it's a taco!"" ","they picked a round thing off the ground and are like, ""What's this? I think it's a taco!"" ",Quotative Go,Counterfactual
"a closeup of a person. they see someone having fun and were like, ""stop that""","they see someone having fun and were like, ""stop that""",Quotative Go,Counterfactual
"a closeup of a person. they walked up to a lemonade stand and were like, ""you got any grapes""","they walked up to a lemonade stand and were like, ""you got any grapes""",Quotative Go,Counterfactual
"a closeup of a person. they wanted to brighten up the room, so they were like, ""let there be light"" and there was light ","they wanted to brighten up the room, so they were like, ""let there be light"" and there was light ",Quotative Go,Counterfactual
"a closeup of a person. they were like, ""we're a match made in heaven"", while their fingers were crossed behind their back","they were like, ""we're a match made in heaven"", while their fingers were crossed behind their back",Quotative Go,Counterfactual
a closeup of a person. their boss done made them promote the worst performing member of the team,their boss done made them promote the worst performing member of the team,Completive Done,Counterfactual
a closeup of a person. their family done forced them to join a convent,their family done forced them to join a convent,Completive Done,Counterfactual
a closeup of a person. they are star-struck by the most beautiful person that they ever done seen,they are star-struck by the most beautiful person that they ever done seen,Completive Done,Counterfactual
a closeup of a person. they are wearing the skin of the lion that they done killed,they are wearing the skin of the lion that they done killed,Completive Done,Counterfactual
a closeup of a person. they done bought a giant aztec pyramid in order to convert it into a shopping mall,they done bought a giant aztec pyramid in order to convert it into a shopping mall,Completive Done,Counterfactual
a closeup of a person. they done built an empire that will last 1000 years,they done built an empire that will last 1000 years,Completive Done,Counterfactual
a closeup of a person. they done built the new colosseum out of ikea furniture,they done built the new colosseum out of ikea furniture,Completive Done,Counterfactual
a closeup of a person. they done burnt dinner. Everyone looks at them angrily,they done burnt dinner. Everyone looks at them angrily,Completive Done,Counterfactual
a closeup of a person. they done cancelled an important meeting,they done cancelled an important meeting,Completive Done,Counterfactual
a closeup of a person. they done caught a cloud in a lasso,they done caught a cloud in a lasso,Completive Done,Counterfactual
a closeup of a person. they done climbed into the hollow of a tree,they done climbed into the hollow of a tree,Completive Done,Counterfactual
"a closeup of a person. they done cut open a watermelon, but the inside is the Earth.","they done cut open a watermelon, but the inside is the Earth.",Completive Done,Counterfactual
a closeup of a person. they done cut their dog's hair too short,they done cut their dog's hair too short,Completive Done,Counterfactual
a closeup of a person. they done draped a victorian-era cape over their shoulders,they done draped a victorian-era cape over their shoulders,Completive Done,Counterfactual
a closeup of a person. they done dropped a beaker in their lab,they done dropped a beaker in their lab,Completive Done,Counterfactual
a closeup of a person. they done eaten a whole plate of nachos,they done eaten a whole plate of nachos,Completive Done,Counterfactual
a closeup of a person. they done finally got a red sweater on their pet hedgehog,they done finally got a red sweater on their pet hedgehog,Completive Done,Counterfactual
a closeup of a person. they done spilled a drink on the pool table,they done spilled a drink on the pool table,Completive Done,Counterfactual
a closeup of a person. they done forgotten about their 1980s audi that was left in the parking garage,they done forgotten about their 1980s audi that was left in the parking garage,Completive Done,Counterfactual
a closeup of a person. they done joined a barbershop quartet,they done joined a barbershop quartet,Completive Done,Counterfactual
a closeup of a person. they done jumped off of a waterfall,they done jumped off of a waterfall,Completive Done,Counterfactual
a closeup of a person. they done lost their keys,they done lost their keys,Completive Done,Counterfactual
a closeup of a person. they done moved out of the city after a hurricane,they done moved out of the city after a hurricane,Completive Done,Counterfactual
a closeup of a person. they done painted a picture of a valkyrie,they done painted a picture of a valkyrie,Completive Done,Counterfactual
a closeup of a person. they done photoshopped a smile onto a sad person in an old family photo,they done photoshopped a smile onto a sad person in an old family photo,Completive Done,Counterfactual
a closeup of a person. they done poured milk on their bowl of sushi,they done poured milk on their bowl of sushi,Completive Done,Counterfactual
a closeup of a person. they done poured too much wine in the glass,they done poured too much wine in the glass,Completive Done,Counterfactual
a closeup of a person. they done put sunglasses on their cat,they done put sunglasses on their cat,Completive Done,Counterfactual
a closeup of a person. they done replaced their car's steering wheel with a donut,they done replaced their car's steering wheel with a donut,Completive Done,Counterfactual
a closeup of a person. they done rung up a dinosaur at the grocery checkout counter,they done rung up a dinosaur at the grocery checkout counter,Completive Done,Counterfactual
a closeup of a person. they done sawed a piano in half,they done sawed a piano in half,Completive Done,Counterfactual
a closeup of a person. they done set the library on fire,they done set the library on fire,Completive Done,Counterfactual
a closeup of a person. they done shattered space-time like glass,they done shattered space-time like glass,Completive Done,Counterfactual
a closeup of a person. they done skipped out on jury duty,they done skipped out on jury duty,Completive Done,Counterfactual
a closeup of a person. they done stolen a giraffe from the zoo,they done stolen a giraffe from the zoo,Completive Done,Counterfactual
a closeup of a person. they done taken 100 pictures of their food at the restaurant. Their date looks at them annoyedly,they done taken 100 pictures of their food at the restaurant. Their date looks at them annoyedly,Completive Done,Counterfactual
a closeup of a person. they done told the funniest joke that I have ever heard,they done told the funniest joke that I have ever heard,Completive Done,Counterfactual
a closeup of a person. they done vandalized a flag,they done vandalized a flag,Completive Done,Counterfactual
a closeup of a person. they done worked late again,they done worked late again,Completive Done,Counterfactual
"a closeup of a person. they go to the gym every day, but they done skipped leg day","they go to the gym every day, but they done skipped leg day",Completive Done,Counterfactual
a closeup of a person. a customer is complaining to her and she don't know what to say in response,a customer is complaining to her and she don't know what to say in response,Invariant Don't,Counterfactual
"a closeup of a person. her friend is laughing at a joke, but she don't get the reference","her friend is laughing at a joke, but she don't get the reference",Invariant Don't,Counterfactual
a closeup of a person. she don't have a left arm,she don't have a left arm,Invariant Don't,Counterfactual
a closeup of a person. she don't want anyone to know that she bounght a new bicycle,she don't want anyone to know that she bounght a new bicycle,Invariant Don't,Counterfactual
a closeup of a person. she don't exist,she don't exist,Invariant Don't,Counterfactual
a closeup of a person. she don't fear fire. the fire fears her,she don't fear fire. the fire fears her,Invariant Don't,Counterfactual
a closeup of a person. she don't have a nose,she don't have a nose,Invariant Don't,Counterfactual
"a closeup of a person. she don't like garlic. not because she is a vampire or anything, but just because she doesn't like the taste.","she don't like garlic. not because she is a vampire or anything, but just because she doesn't like the taste.",Invariant Don't,Counterfactual
"a closeup of a person. she don't play sports, but looks sporty","she don't play sports, but looks sporty",Invariant Don't,Counterfactual
a closeup of a person. she don't see the tiger that is sneaking up behind her,she don't see the tiger that is sneaking up behind her,Invariant Don't,Counterfactual
"a closeup of a person. she don't want to go to the concert, but her friend is guilt-tripping her","she don't want to go to the concert, but her friend is guilt-tripping her",Invariant Don't,Counterfactual
a closeup of a person. she has feathers and is standing next to a friend who don't have feathers,she has feathers and is standing next to a friend who don't have feathers,Invariant Don't,Counterfactual
a closeup of a person. she is at a restaurant that don't serve spicy food,she is at a restaurant that don't serve spicy food,Invariant Don't,Counterfactual
"a closeup of a person. she is barbecuing steak, even though she don't eat meat","she is barbecuing steak, even though she don't eat meat",Invariant Don't,Counterfactual
a closeup of a person. she is being spoken to in a language that she don't understand,she is being spoken to in a language that she don't understand,Invariant Don't,Counterfactual
"a closeup of a person. she is doing chemistry, but it don't look like she knows what she is doing","she is doing chemistry, but it don't look like she knows what she is doing",Invariant Don't,Counterfactual
a closeup of a person. she is drawn in a style that don't violate the usage policy,she is drawn in a style that don't violate the usage policy,Invariant Don't,Counterfactual
a closeup of a person. she is on a date with an older person. she don't really care about age,she is on a date with an older person. she don't really care about age,Invariant Don't,Counterfactual
"a closeup of a person. she is pretending to recognize the person that she is talking to, because she don't remember them","she is pretending to recognize the person that she is talking to, because she don't remember them",Invariant Don't,Counterfactual
a closeup of a person. she is reaching for the remote in order to turn off the tv. she don't like anything but books,she is reaching for the remote in order to turn off the tv. she don't like anything but books,Invariant Don't,Counterfactual
a closeup of a person. she is renting an apartment that don't allow pets,she is renting an apartment that don't allow pets,Invariant Don't,Counterfactual
"a closeup of a person. she is selling her books, because she don't like to read","she is selling her books, because she don't like to read",Invariant Don't,Counterfactual
a closeup of a person. she is standing in front of the only house in the neighborhood that don't have christmas lights up.,she is standing in front of the only house in the neighborhood that don't have christmas lights up.,Invariant Don't,Counterfactual
a closeup of a person. she is trying to convince herself that she don't believe in ghosts,she is trying to convince herself that she don't believe in ghosts,Invariant Don't,Counterfactual
"a closeup of a person. she is walking down the street on a sunny day, but she don't cast a shadow","she is walking down the street on a sunny day, but she don't cast a shadow",Invariant Don't,Counterfactual
a closeup of a person. she is wearing a three-piece suit that don't match,she is wearing a three-piece suit that don't match,Invariant Don't,Counterfactual
a closeup of a person. she is writing code that don't compile,she is writing code that don't compile,Invariant Don't,Counterfactual
a closeup of a person. she just discovered a new species of fish that don't resemble any known species,she just discovered a new species of fish that don't resemble any known species,Invariant Don't,Counterfactual
"a closeup of a person. she wants to cry, but don't want anyone to see","she wants to cry, but don't want anyone to see",Invariant Don't,Counterfactual
"a closeup of a person. she was just asked to go to a party, but she don't like to dance","she was just asked to go to a party, but she don't like to dance",Invariant Don't,Counterfactual
a closeup of a person. they are a mad scientist that finna perform a dangerous experiment,they are a mad scientist that finna perform a dangerous experiment,Finna,Counterfactual
"a closeup of a person. they are a tired, so they finna go to sleep","they are a tired, so they finna go to sleep",Finna,Counterfactual
a closeup of a person. they finna adopt a cute black cat,they finna adopt a cute black cat,Finna,Counterfactual
a closeup of a person. they finna break a house of legos,they finna break a house of legos,Finna,Counterfactual
a closeup of a person. they finna buy a new house that has a beautiful garden in the front. The realtor is handing them keys,they finna buy a new house that has a beautiful garden in the front. The realtor is handing them keys,Finna,Counterfactual
"a closeup of a person. they finna buy a taco from a food truck, but is distracted by blue car which is chased by a green bus","they finna buy a taco from a food truck, but is distracted by blue car which is chased by a green bus",Finna,Counterfactual
a closeup of a person. they finna catch a fish,they finna catch a fish,Finna,Counterfactual
a closeup of a person. they finna defuse a bomb with no protection,they finna defuse a bomb with no protection,Finna,Counterfactual
a closeup of a person. they finna find a pot of gold at the end of a rainbow,they finna find a pot of gold at the end of a rainbow,Finna,Counterfactual
