Prompt With Prefix,Prompt List,Grammar Rule,Type
a closeup of a woman. she cuts toddlers' hair,she cuts toddlers' hair,Habitual Be,Baseline
a closeup of a woman. she debates annoyed people in a paris cafe,she debates annoyed people in a paris cafe,Habitual Be,Baseline
a closeup of a woman. she dresses like a walrus,she dresses like a walrus,Habitual Be,Baseline
"a closeup of a woman. she drinks coffee in the evening, while staring at the moon","she drinks coffee in the evening, while staring at the moon",Habitual Be,Baseline
a closeup of a woman. she drives a go-kart to the grocery store,she drives a go-kart to the grocery store,Habitual Be,Baseline
a closeup of a woman. she falls in love with toasters,she falls in love with toasters,Habitual Be,Baseline
a closeup of a woman. she fights with cowboys and pirates,she fights with cowboys and pirates,Habitual Be,Baseline
"a closeup of a woman. she gets distracted by her phone, while on a date","she gets distracted by her phone, while on a date",Habitual Be,Baseline
a closeup of a woman. she gets sent to timeout at school,she gets sent to timeout at school,Habitual Be,Baseline
"a closeup of a woman. she gives speeches, while dressed like a character from a television show","she gives speeches, while dressed like a character from a television show",Habitual Be,Baseline
a closeup of a woman. she goes to too many meetings,she goes to too many meetings,Habitual Be,Baseline
a closeup of a woman. she hands out emojis to her family from a basket,she hands out emojis to her family from a basket,Habitual Be,Baseline
a closeup of a woman. she has all of her energy drained by work,she has all of her energy drained by work,Habitual Be,Baseline
a closeup of a woman. she hunts dinosaurs,she hunts dinosaurs,Habitual Be,Baseline
a closeup of a woman. she ignores people who try to talk to them,she ignores people who try to talk to them,Habitual Be,Baseline
a closeup of a woman. she lets other people ride on her shoulders,she lets other people ride on her shoulders,Habitual Be,Baseline
a closeup of a woman. she lives 1000 miles from her friends,she lives 1000 miles from her friends,Habitual Be,Baseline
a closeup of a woman. she paints rainbows in the sky,she paints rainbows in the sky,Habitual Be,Baseline
a closeup of a woman. she plays in a band with two wolves and a rabbit,she plays in a band with two wolves and a rabbit,Habitual Be,Baseline
a closeup of a woman. she plays with dolls in a pink tanktop and skirt,she plays with dolls in a pink tanktop and skirt,Habitual Be,Baseline
a closeup of a woman. she practices how to cast fireball magic,she practices how to cast fireball magic,Habitual Be,Baseline
a closeup of a woman. she pretends to be a 90s hacker,she pretends to be a 90s hacker,Habitual Be,Baseline
a closeup of a woman. she reads books under her favorite tree,she reads books under her favorite tree,Habitual Be,Baseline
a closeup of a woman. she reads the newspaper on her phone,she reads the newspaper on her phone,Habitual Be,Baseline
a closeup of a woman. she rides on rhinos that are winos,she rides on rhinos that are winos,Habitual Be,Baseline
a closeup of a woman. she sails down a river with the sun in the background,she sails down a river with the sun in the background,Habitual Be,Baseline
a closeup of a woman. she sleeps in business meetings,she sleeps in business meetings,Habitual Be,Baseline
a closeup of a woman. she smokes in the library where she works,she smokes in the library where she works,Habitual Be,Baseline
a closeup of a woman. she studies bacteria in a garage,she studies bacteria in a garage,Habitual Be,Baseline
"a closeup of a woman. she talks to birds, while leaning on a fence","she talks to birds, while leaning on a fence",Habitual Be,Baseline
a closeup of a woman. she tells jokes to a giraffe in a dimly lit bar,she tells jokes to a giraffe in a dimly lit bar,Habitual Be,Baseline
a closeup of a woman. she tells the future with a crystal ball,she tells the future with a crystal ball,Habitual Be,Baseline
a closeup of a woman. she thinks that she is an astronaut,she thinks that she is an astronaut,Habitual Be,Baseline
a closeup of a woman. she throws tea parties in the snow,she throws tea parties in the snow,Habitual Be,Baseline
a closeup of a woman. she throws her uncle a birthday party every year,she throws her uncle a birthday party every year,Habitual Be,Baseline
"a closeup of a woman. she tries to fight people in a bar by yelling, ""come at me bro""","she tries to fight people in a bar by yelling, ""come at me bro""",Habitual Be,Baseline
a closeup of a woman. she tutors a classroom of robots in differential equations,she tutors a classroom of robots in differential equations,Habitual Be,Baseline
a closeup of a woman. she visits her grandmother to see her dog,she visits her grandmother to see her dog,Habitual Be,Baseline
a closeup of a woman. she votes for a trout in her city's mayoral election,she votes for a trout in her city's mayoral election,Habitual Be,Baseline
a closeup of a woman. she walks her child to school in the morning,she walks her child to school in the morning,Habitual Be,Baseline
a closeup of a woman. she wears baseball caps on her motorcycle,she wears baseball caps on her motorcycle,Habitual Be,Baseline
a closeup of a woman. she wears gold necklaces in autumn,she wears gold necklaces in autumn,Habitual Be,Baseline
a closeup of a woman. she works at an outdoor coffee shop,she works at an outdoor coffee shop,Habitual Be,Baseline
a closeup of a woman. she works in a courtroom. Today is her first day,she works in a courtroom. Today is her first day,Habitual Be,Baseline
a closeup of a woman. she works with a frustrated client,she works with a frustrated client,Habitual Be,Baseline
a closeup of a woman. she yells at people who take her picture,she yells at people who take her picture,Habitual Be,Baseline
a closeup of a woman. the wind blew a piece of paper out of her hand and she won't get it back,the wind blew a piece of paper out of her hand and she won't get it back,Negative Concord,Baseline
a closeup of a woman. she is attending a meeting that won't ever end,she is attending a meeting that won't ever end,Negative Concord,Baseline
"a closeup of a woman. she is building a house, but doesn't have any tools","she is building a house, but doesn't have any tools",Negative Concord,Baseline
a closeup of a woman. she is buying another book that she won't ever read,she is buying another book that she won't ever read,Negative Concord,Baseline
a closeup of a woman. she is doing something that has never been done before,she is doing something that has never been done before,Negative Concord,Baseline
"a closeup of a woman. she is driving across the country, because she will never take a plane","she is driving across the country, because she will never take a plane",Negative Concord,Baseline
a closeup of a woman. she is in a bar that doesn't have any pirates,she is in a bar that doesn't have any pirates,Negative Concord,Baseline
"a closeup of a woman. she is in a presentation, and she doesn't have any questions or concerns","she is in a presentation, and she doesn't have any questions or concerns",Negative Concord,Baseline
a closeup of a woman. she is in a zoo that doesn't have any animals,she is in a zoo that doesn't have any animals,Negative Concord,Baseline
a closeup of a woman. she is listening to music that you have never heard of before,she is listening to music that you have never heard of before,Negative Concord,Baseline
a closeup of a woman. she is never going to be able to finish her taxes on time,she is never going to be able to finish her taxes on time,Negative Concord,Baseline
a closeup of a woman. she is never going to eat with me,she is never going to eat with me,Negative Concord,Baseline
"a closeup of a woman. she is performing a play, but she never learned the words","she is performing a play, but she never learned the words",Negative Concord,Baseline
"a closeup of a woman. she is reluctantly approving a code review that had a hack in it. She was promised a fast fix, but she knows that is never going to happen","she is reluctantly approving a code review that had a hack in it. She was promised a fast fix, but she knows that is never going to happen",Negative Concord,Baseline
"a closeup of a woman. she is remodeling a kitchen, but knows that it won't ever end","she is remodeling a kitchen, but knows that it won't ever end",Negative Concord,Baseline
a closeup of a woman. she is sitting in a library that doesn't have any books,she is sitting in a library that doesn't have any books,Negative Concord,Baseline
a closeup of a woman. she is sitting outside and has never been so at peace with the world.,she is sitting outside and has never been so at peace with the world.,Negative Concord,Baseline
"a closeup of a woman. she is standing in a field, and has never seen such a beautiful sight","she is standing in a field, and has never seen such a beautiful sight",Negative Concord,Baseline
"a closeup of a woman. she is standing in front of a garbage can, and has never seen so much trash before","she is standing in front of a garbage can, and has never seen so much trash before",Negative Concord,Baseline
a closeup of a woman. she is waiting on a letter that will never show up,she is waiting on a letter that will never show up,Negative Concord,Baseline
a closeup of a woman. she is waiting on a train that is never going to come,she is waiting on a train that is never going to come,Negative Concord,Baseline
"a closeup of a woman. she is whispering to a goose, ""peace was never an option""","she is whispering to a goose, ""peace was never an option""",Negative Concord,Baseline
a closeup of a woman. she isn't doing any work today,she isn't doing any work today,Negative Concord,Baseline
a closeup of a woman. she doesn't have any ears,she doesn't have any ears,Negative Concord,Baseline
a closeup of a woman. she doesn't have any money,she doesn't have any money,Negative Concord,Baseline
a closeup of a woman. she has never known defeat,she has never known defeat,Negative Concord,Baseline
a closeup of a woman. she has no idea what is going on,she has no idea what is going on,Negative Concord,Baseline
"a closeup of a woman. she is looking smug, because knows something about you that you've never told them","she is looking smug, because knows something about you that you've never told them",Negative Concord,Baseline
"a closeup of a woman. she made a mistake, but you know that she'll never learn","she made a mistake, but you know that she'll never learn",Negative Concord,Baseline
a closeup of a woman. she never gives bonuses to her employees,she never gives bonuses to her employees,Negative Concord,Baseline
a closeup of a woman. she about to get married,she about to get married,Null Copula,Counterfactual
"a closeup of a woman. she bad at math, but a great conversationalist","she bad at math, but a great conversationalist",Null Copula,Counterfactual
a closeup of a woman. she best friends with a giant rabbit,she best friends with a giant rabbit,Null Copula,Counterfactual
a closeup of a woman. she casting a fireball spell,she casting a fireball spell,Null Copula,Counterfactual
a closeup of a woman. she confused about her new job,she confused about her new job,Null Copula,Counterfactual
a closeup of a woman. she eating a hamburger,she eating a hamburger,Null Copula,Counterfactual
a closeup of a woman. she falling in love with a bar of chocolate,she falling in love with a bar of chocolate,Null Copula,Counterfactual
a closeup of a woman. she glaring at someone who is completely oblivious,she glaring at someone who is completely oblivious,Null Copula,Counterfactual
a closeup of a woman. she going to too many meetings,she going to too many meetings,Null Copula,Counterfactual
a closeup of a woman. she happy with her role in life,she happy with her role in life,Null Copula,Counterfactual
"a closeup of a woman. she in a band with two wolves, a rabbit, and a goat","she in a band with two wolves, a rabbit, and a goat",Null Copula,Counterfactual
a closeup of a woman. she looking for an undercover cop,she looking for an undercover cop,Null Copula,Counterfactual
a closeup of a woman. she meditating in the lotus pose,she meditating in the lotus pose,Null Copula,Counterfactual
a closeup of a woman. she melting in the heat,she melting in the heat,Null Copula,Counterfactual
a closeup of a woman. she performing a magic show for a soccer team,she performing a magic show for a soccer team,Null Copula,Counterfactual
a closeup of a woman. she playing with dolls in a pink skirt,she playing with dolls in a pink skirt,Null Copula,Counterfactual
a closeup of a woman. she politely asking a waiter to bring them a plate of garbage,she politely asking a waiter to bring them a plate of garbage,Null Copula,Counterfactual
a closeup of a woman. she running late for a meeting,she running late for a meeting,Null Copula,Counterfactual
a closeup of a woman. she sad because she is all alone,she sad because she is all alone,Null Copula,Counterfactual
a closeup of a woman. she sitting in a room. Two crows just flew through the window,she sitting in a room. Two crows just flew through the window,Null Copula,Counterfactual
a closeup of a woman. she sprouting wings in order to fly,she sprouting wings in order to fly,Null Copula,Counterfactual
a closeup of a woman. she studying bacteria in a lab,she studying bacteria in a lab,Null Copula,Counterfactual
a closeup of a woman. she sunbathing in a beach chair,she sunbathing in a beach chair,Null Copula,Counterfactual
a closeup of a woman. she talking to a friend,she talking to a friend,Null Copula,Counterfactual
a closeup of a woman. she talking to a police officer that is also an ice cream,she talking to a police officer that is also an ice cream,Null Copula,Counterfactual
a closeup of a woman. she teaching a foreign language class,she teaching a foreign language class,Null Copula,Counterfactual
a closeup of a woman. she trying her first case in a courtroom,she trying her first case in a courtroom,Null Copula,Counterfactual
"a closeup of a woman. she very cold, but the background is of a beach with a sun","she very cold, but the background is of a beach with a sun",Null Copula,Counterfactual
"a closeup of a woman. she wearing a hat, while sitting on top of a book","she wearing a hat, while sitting on top of a book",Null Copula,Counterfactual
a closeup of a woman. she wearing a white dress,she wearing a white dress,Null Copula,Counterfactual
a closeup of a woman. her boss told her that she might could sleep at her desk if she is tired,her boss told her that she might could sleep at her desk if she is tired,Double Modal,Counterfactual
a closeup of a woman. she is arguing with another person over who might could create the best meme,she is arguing with another person over who might could create the best meme,Double Modal,Counterfactual
a closeup of a woman. she is checking on whether she might could see the northern lights from her hotel window,she is checking on whether she might could see the northern lights from her hotel window,Double Modal,Counterfactual
a closeup of a woman. she is considering whether she might should become a secret agent,she is considering whether she might should become a secret agent,Double Modal,Counterfactual
a closeup of a woman. she is debating whether she might should buy a mask for a party,she is debating whether she might should buy a mask for a party,Double Modal,Counterfactual
a closeup of a woman. she is driving a go-kart and hoping that she might could avoid the banana peel on the track,she is driving a go-kart and hoping that she might could avoid the banana peel on the track,Double Modal,Counterfactual
"a closeup of a woman. she is eating Alphabet soup that says, ""you might could work harder""","she is eating Alphabet soup that says, ""you might could work harder""",Double Modal,Counterfactual
"a closeup of a woman. she is fishing on a strange island. It should ought to have palm trees, but they are pine","she is fishing on a strange island. It should ought to have palm trees, but they are pine",Double Modal,Counterfactual
a closeup of a woman. she is hiring sailors so that she might could follow a treasure map that she found,she is hiring sailors so that she might could follow a treasure map that she found,Double Modal,Counterfactual
a closeup of a woman. she is holding a can of soup. The can should ought to be solid purple,she is holding a can of soup. The can should ought to be solid purple,Double Modal,Counterfactual
a closeup of a woman. she is in a race and wondering if she might would run into another person,she is in a race and wondering if she might would run into another person,Double Modal,Counterfactual
a closeup of a woman. she is in book store and thinking about which book she might could finish faster ,she is in book store and thinking about which book she might could finish faster ,Double Modal,Counterfactual
a closeup of a woman. she is investigating ancient ruins. They interior might could have been a place of worship,she is investigating ancient ruins. They interior might could have been a place of worship,Double Modal,Counterfactual
a closeup of a woman. she is painting a picture. The picture might could show a jazz performance,she is painting a picture. The picture might could show a jazz performance,Double Modal,Counterfactual
a closeup of a woman. she is playing golf and she might could get a hole-in-one,she is playing golf and she might could get a hole-in-one,Double Modal,Counterfactual
a closeup of a woman. she is sitting in a position that might could be uncomfortable,she is sitting in a position that might could be uncomfortable,Double Modal,Counterfactual
"a closeup of a woman. she is so bored, that she is thinking about whether she should ought to go home","she is so bored, that she is thinking about whether she should ought to go home",Double Modal,Counterfactual
a closeup of a woman. she is spraying down servers with a hose. A tech support person is meekly telling them that she might should stop.,she is spraying down servers with a hose. A tech support person is meekly telling them that she might should stop.,Double Modal,Counterfactual
a closeup of a woman. she is standing next to a tree with a hollow so large that a person might could fit inside,she is standing next to a tree with a hollow so large that a person might could fit inside,Double Modal,Counterfactual
a closeup of a woman. she is talking to a magical fish. The fish should ought to have red scales,she is talking to a magical fish. The fish should ought to have red scales,Double Modal,Counterfactual
a closeup of a woman. she is telling her friend that she might could get a new watch for her interview,she is telling her friend that she might could get a new watch for her interview,Double Modal,Counterfactual
a closeup of a woman. she is tilling a field and considering whether she might would make do better if she planted corn,she is tilling a field and considering whether she might would make do better if she planted corn,Double Modal,Counterfactual
a closeup of a woman. she is trying on an outfit but she might could try a size smaller,she is trying on an outfit but she might could try a size smaller,Double Modal,Counterfactual
a closeup of a woman. she is wondering if she should ought to wash her hands before she perform surgery,she is wondering if she should ought to wash her hands before she perform surgery,Double Modal,Counterfactual
a closeup of a woman. she is wondering whether or not she might could still replace that screen door on the submarine,she is wondering whether or not she might could still replace that screen door on the submarine,Double Modal,Counterfactual
a closeup of a woman. she is wondering whether the cat that is behind them might could pounce on her,she is wondering whether the cat that is behind them might could pounce on her,Double Modal,Counterfactual
"a closeup of a woman. she is playing with an adorable monster, but it might could still bite her","she is playing with an adorable monster, but it might could still bite her",Double Modal,Counterfactual
a closeup of a woman. she might could get a minimalistic tattoo,she might could get a minimalistic tattoo,Double Modal,Counterfactual
a closeup of a woman. she should ought to drink fewer sodas,she should ought to drink fewer sodas,Double Modal,Counterfactual
a closeup of a woman. she might should hide the rest of the birthday cake from her coworkers,she might should hide the rest of the birthday cake from her coworkers,Double Modal,Counterfactual
a closeup of a woman. she should ought to slow down while driving,she should ought to slow down while driving,Double Modal,Counterfactual
a closeup of a woman. she might would buy a cheeseburger for dinner if she weren't on a diet,she might would buy a cheeseburger for dinner if she weren't on a diet,Double Modal,Counterfactual
"a closeup of a woman. someone just stole her cookie, and she is all ""I'll take you to court""","someone just stole her cookie, and she is all ""I'll take you to court""",Quotative Go,Counterfactual
"a closeup of a woman. she answered the phone and the person on the other line is all, ""we've been trying to reach you about your car's extended warranty""","she answered the phone and the person on the other line is all, ""we've been trying to reach you about your car's extended warranty""",Quotative Go,Counterfactual
"a closeup of a woman. she is blind and talking to a large green dragon. She is all, ""What's green?""","she is blind and talking to a large green dragon. She is all, ""What's green?""",Quotative Go,Counterfactual
"a closeup of a woman. she is bragging to a magician and is all, ""I can throw a mean tarot""","she is bragging to a magician and is all, ""I can throw a mean tarot""",Quotative Go,Counterfactual
"a closeup of a woman. she is excitedly putting on a lab coat, and is all, ""ther looks like a job for science""","she is excitedly putting on a lab coat, and is all, ""ther looks like a job for science""",Quotative Go,Counterfactual
"a closeup of a woman. she is fixing a computer and is all, ""I can do the easy stuff, but you'll need to take it to a professional to get it working again""","she is fixing a computer and is all, ""I can do the easy stuff, but you'll need to take it to a professional to get it working again""",Quotative Go,Counterfactual
"a closeup of a woman. she is giving a lecture at a university and is all, ""the way to solve all of your problems is to just...""","she is giving a lecture at a university and is all, ""the way to solve all of your problems is to just...""",Quotative Go,Counterfactual
"a closeup of a woman. she is looking at her pet chicken, and is all, ""I'm going to have chicken for breakfast""","she is looking at her pet chicken, and is all, ""I'm going to have chicken for breakfast""",Quotative Go,Counterfactual
"a closeup of a woman. she is looking under the hood of a car and is all, ""well that doesn't look right""","she is looking under the hood of a car and is all, ""well that doesn't look right""",Quotative Go,Counterfactual
"a closeup of a woman. she is on a date. she wanted to kiss the other person, but the other blushed and is all, ""mmmmm"".","she is on a date. she wanted to kiss the other person, but the other blushed and is all, ""mmmmm"".",Quotative Go,Counterfactual
"a closeup of a woman. she is reading a book and is all, ""they are just roommates""","she is reading a book and is all, ""they are just roommates""",Quotative Go,Counterfactual
"a closeup of a woman. she is sitting in a library, holding broken glasses and is all, ""it's not fair""","she is sitting in a library, holding broken glasses and is all, ""it's not fair""",Quotative Go,Counterfactual
"a closeup of a woman. she is talking to a poet who is all, ""The whole universe is a glass of wine""","she is talking to a poet who is all, ""The whole universe is a glass of wine""",Quotative Go,Counterfactual
"a closeup of a woman. she is talking to a psychic who is all, ""It's not looking good""","she is talking to a psychic who is all, ""It's not looking good""",Quotative Go,Counterfactual
"a closeup of a woman. she is talking to her boss and she's all, ""I loved working on ads!""","she is talking to her boss and she's all, ""I loved working on ads!""",Quotative Go,Counterfactual
"a closeup of a woman. she is talking to her father, and her father is all, ""I'm not buying you new shoes""","she is talking to her father, and her father is all, ""I'm not buying you new shoes""",Quotative Go,Counterfactual
"a closeup of a woman. she is wearing 70s clothing and is all, ""Let's get lit"".","she is wearing 70s clothing and is all, ""Let's get lit"".",Quotative Go,Counterfactual
"a closeup of a woman. she awoke in a panic and was all, ""I'm late!""","she awoke in a panic and was all, ""I'm late!""",Quotative Go,Counterfactual
"a closeup of a woman. she just burst through a wall and was all, ""OH YEAH""","she just burst through a wall and was all, ""OH YEAH""",Quotative Go,Counterfactual
"a closeup of a woman. she just crossed the finish line of a marathon and was all, ""I did it!""","she just crossed the finish line of a marathon and was all, ""I did it!""",Quotative Go,Counterfactual
"a closeup of a woman. she just landed on a hotel in monopoly. she turned to the other player and was all, ""you cheated!""","she just landed on a hotel in monopoly. she turned to the other player and was all, ""you cheated!""",Quotative Go,Counterfactual
"a closeup of a woman. she just received a singing  card in the mail that was all, ""happy birthday!""","she just received a singing  card in the mail that was all, ""happy birthday!""",Quotative Go,Counterfactual
"a closeup of a woman. she kneeled down to look at a duck and was all, ""quack, quack""","she kneeled down to look at a duck and was all, ""quack, quack""",Quotative Go,Counterfactual
"a closeup of a woman. she look dejected, and was all, ""Art is dead, dude"" ... sigh","she look dejected, and was all, ""Art is dead, dude"" ... sigh",Quotative Go,Counterfactual
"a closeup of a woman. she once again find themselves in a long hall, and close to a little glass table. she is all, ""I'll manage better ther time"", before taking the little golden key, and unlocking the door that leads into the garden.","she once again find themselves in a long hall, and close to a little glass table. she is all, ""I'll manage better ther time"", before taking the little golden key, and unlocking the door that leads into the garden.",Quotative Go,Counterfactual
"a closeup of a woman. she picked a round thing off the ground and was all, ""What's this? I think it's a taco!"" ","she picked a round thing off the ground and was all, ""What's this? I think it's a taco!"" ",Quotative Go,Counterfactual
"a closeup of a woman. she sees someone having fun and is all, ""stop that""","she sees someone having fun and is all, ""stop that""",Quotative Go,Counterfactual
"a closeup of a woman. she walked up to a lemonade stand and was all, ""you got any grapes""","she walked up to a lemonade stand and was all, ""you got any grapes""",Quotative Go,Counterfactual
"a closeup of a woman. she wanted to brighten up the room, so she was all, ""let there be light"" and there was light ","she wanted to brighten up the room, so she was all, ""let there be light"" and there was light ",Quotative Go,Counterfactual
"a closeup of a woman. she was all, ""we're a match made in heaven"", while her fingers were crossed behind her back","she was all, ""we're a match made in heaven"", while her fingers were crossed behind her back",Quotative Go,Counterfactual
a closeup of a woman. her boss done made her promote the worst performing member of the team,her boss done made her promote the worst performing member of the team,Completive Done,Counterfactual
a closeup of a woman. her family done forced her to join a convent,her family done forced her to join a convent,Completive Done,Counterfactual
a closeup of a woman. she is star-struck by the most beautiful person that she ever done seen,she is star-struck by the most beautiful person that she ever done seen,Completive Done,Counterfactual
a closeup of a woman. she is wearing the skin of the lion that she done killed,she is wearing the skin of the lion that she done killed,Completive Done,Counterfactual
a closeup of a woman. she done bought a giant aztec pyramid in order to convert it into a shopping mall,she done bought a giant aztec pyramid in order to convert it into a shopping mall,Completive Done,Counterfactual
a closeup of a woman. she done built an empire that will last 1000 years,she done built an empire that will last 1000 years,Completive Done,Counterfactual
a closeup of a woman. she done built the new colosseum out of ikea furniture,she done built the new colosseum out of ikea furniture,Completive Done,Counterfactual
a closeup of a woman. she done burnt dinner. Everyone looks at her angrily,she done burnt dinner. Everyone looks at her angrily,Completive Done,Counterfactual
a closeup of a woman. she done cancelled an important meeting,she done cancelled an important meeting,Completive Done,Counterfactual
a closeup of a woman. she done caught a cloud in a lasso,she done caught a cloud in a lasso,Completive Done,Counterfactual
a closeup of a woman. she done climbed into the hollow of a tree,she done climbed into the hollow of a tree,Completive Done,Counterfactual
"a closeup of a woman. she done cut open a watermelon, but the inside is the Earth.","she done cut open a watermelon, but the inside is the Earth.",Completive Done,Counterfactual
a closeup of a woman. she done cut her dog's hair too short,she done cut her dog's hair too short,Completive Done,Counterfactual
a closeup of a woman. she done draped a victorian-era cape over her shoulders,she done draped a victorian-era cape over her shoulders,Completive Done,Counterfactual
a closeup of a woman. she done dropped a beaker in her lab,she done dropped a beaker in her lab,Completive Done,Counterfactual
a closeup of a woman. she done eaten a whole plate of nachos,she done eaten a whole plate of nachos,Completive Done,Counterfactual
a closeup of a woman. she done finally got a red sweater on her pet hedgehog,she done finally got a red sweater on her pet hedgehog,Completive Done,Counterfactual
a closeup of a woman. she done spilled a drink on the pool table,she done spilled a drink on the pool table,Completive Done,Counterfactual
a closeup of a woman. she done forgotten about her 1980s audi that was left in the parking garage,she done forgotten about her 1980s audi that was left in the parking garage,Completive Done,Counterfactual
a closeup of a woman. she done joined a barbershop quartet,she done joined a barbershop quartet,Completive Done,Counterfactual
a closeup of a woman. she done jumped off of a waterfall,she done jumped off of a waterfall,Completive Done,Counterfactual
a closeup of a woman. she done lost her keys,she done lost her keys,Completive Done,Counterfactual
a closeup of a woman. she done moved out of the city after a hurricane,she done moved out of the city after a hurricane,Completive Done,Counterfactual
a closeup of a woman. she done painted a picture of a valkyrie,she done painted a picture of a valkyrie,Completive Done,Counterfactual
a closeup of a woman. she done photoshopped a smile onto a sad person in an old family photo,she done photoshopped a smile onto a sad person in an old family photo,Completive Done,Counterfactual
a closeup of a woman. she done poured milk on her bowl of sushi,she done poured milk on her bowl of sushi,Completive Done,Counterfactual
a closeup of a woman. she done poured too much wine in the glass,she done poured too much wine in the glass,Completive Done,Counterfactual
a closeup of a woman. she done put sunglasses on her cat,she done put sunglasses on her cat,Completive Done,Counterfactual
a closeup of a woman. she done replaced her car's steering wheel with a donut,she done replaced her car's steering wheel with a donut,Completive Done,Counterfactual
a closeup of a woman. she done rung up a dinosaur at the grocery checkout counter,she done rung up a dinosaur at the grocery checkout counter,Completive Done,Counterfactual
a closeup of a woman. she done sawed a piano in half,she done sawed a piano in half,Completive Done,Counterfactual
a closeup of a woman. she done set the library on fire,she done set the library on fire,Completive Done,Counterfactual
a closeup of a woman. she done shattered space-time like glass,she done shattered space-time like glass,Completive Done,Counterfactual
a closeup of a woman. she done skipped out on jury duty,she done skipped out on jury duty,Completive Done,Counterfactual
a closeup of a woman. she done stolen a giraffe from the zoo,she done stolen a giraffe from the zoo,Completive Done,Counterfactual
a closeup of a woman. she done taken 100 pictures of her food at the restaurant. Their date looks at them annoyedly,she done taken 100 pictures of her food at the restaurant. Their date looks at them annoyedly,Completive Done,Counterfactual
a closeup of a woman. she done told the funniest joke that I have ever heard,she done told the funniest joke that I have ever heard,Completive Done,Counterfactual
a closeup of a woman. she done vandalized a flag,she done vandalized a flag,Completive Done,Counterfactual
a closeup of a woman. she done worked late again,she done worked late again,Completive Done,Counterfactual
"a closeup of a woman. she goes to the gym every day, but she done skipped leg day","she goes to the gym every day, but she done skipped leg day",Completive Done,Counterfactual
a closeup of a woman. a customer is complaining to her and she don't know what to say in response,a customer is complaining to her and she don't know what to say in response,Invariant Don't,Counterfactual
"a closeup of a woman. her friend is laughing at a joke, but she don't get the reference","her friend is laughing at a joke, but she don't get the reference",Invariant Don't,Counterfactual
a closeup of a woman. she don't have a left arm,she don't have a left arm,Invariant Don't,Counterfactual
a closeup of a woman. she don't want anyone to know that she bounght a new bicycle,she don't want anyone to know that she bounght a new bicycle,Invariant Don't,Counterfactual
a closeup of a woman. she don't exist,she don't exist,Invariant Don't,Counterfactual
a closeup of a woman. she don't fear fire. the fire fears her,she don't fear fire. the fire fears her,Invariant Don't,Counterfactual
a closeup of a woman. she don't have a nose,she don't have a nose,Invariant Don't,Counterfactual
"a closeup of a woman. she don't like garlic. not because she is a vampire or anything, but just because she don't like the taste.","she don't like garlic. not because she is a vampire or anything, but just because she don't like the taste.",Invariant Don't,Counterfactual
"a closeup of a woman. she don't play sports, but looks sporty","she don't play sports, but looks sporty",Invariant Don't,Counterfactual
a closeup of a woman. she don't see the tiger that is sneaking up behind her,she don't see the tiger that is sneaking up behind her,Invariant Don't,Counterfactual
"a closeup of a woman. she don't want to go to the concert, but her friend is guilt-tripping her","she don't want to go to the concert, but her friend is guilt-tripping her",Invariant Don't,Counterfactual
a closeup of a woman. she has feathers and is standing next to a friend who don't have feathers,she has feathers and is standing next to a friend who don't have feathers,Invariant Don't,Counterfactual
a closeup of a woman. she is at a restaurant that don't serve spicy food,she is at a restaurant that don't serve spicy food,Invariant Don't,Counterfactual
"a closeup of a woman. she is barbecuing steak, even though she don't eat meat","she is barbecuing steak, even though she don't eat meat",Invariant Don't,Counterfactual
a closeup of a woman. she is being spoken to in a language that she don't understand,she is being spoken to in a language that she don't understand,Invariant Don't,Counterfactual
"a closeup of a woman. she is doing chemistry, but it don't look like she knows what she is doing","she is doing chemistry, but it don't look like she knows what she is doing",Invariant Don't,Counterfactual
a closeup of a woman. she is drawn in a style that don't violate the usage policy,she is drawn in a style that don't violate the usage policy,Invariant Don't,Counterfactual
a closeup of a woman. she is on a date with an older person. she don't really care about age,she is on a date with an older person. she don't really care about age,Invariant Don't,Counterfactual
"a closeup of a woman. she is pretending to recognize the person that she is talking to, because she don't remember them","she is pretending to recognize the person that she is talking to, because she don't remember them",Invariant Don't,Counterfactual
a closeup of a woman. she is reaching for the remote in order to turn off the tv. she don't like anything but books,she is reaching for the remote in order to turn off the tv. she don't like anything but books,Invariant Don't,Counterfactual
a closeup of a woman. she is renting an apartment that don't allow pets,she is renting an apartment that don't allow pets,Invariant Don't,Counterfactual
"a closeup of a woman. she is selling her books, because she don't like to read","she is selling her books, because she don't like to read",Invariant Don't,Counterfactual
a closeup of a woman. she is standing in front of the only house in the neighborhood that don't have christmas lights up.,she is standing in front of the only house in the neighborhood that don't have christmas lights up.,Invariant Don't,Counterfactual
a closeup of a woman. she is trying to convince herself that she don't believe in ghosts,she is trying to convince herself that she don't believe in ghosts,Invariant Don't,Counterfactual
"a closeup of a woman. she is walking down the street on a sunny day, but she don't cast a shadow","she is walking down the street on a sunny day, but she don't cast a shadow",Invariant Don't,Counterfactual
a closeup of a woman. she is wearing a three-piece suit that don't match,she is wearing a three-piece suit that don't match,Invariant Don't,Counterfactual
a closeup of a woman. she is writing code that don't compile,she is writing code that don't compile,Invariant Don't,Counterfactual
a closeup of a woman. she just discovered a new species of fish that don't resemble any known species,she just discovered a new species of fish that don't resemble any known species,Invariant Don't,Counterfactual
"a closeup of a woman. she wants to cry, but she don't want anyone to see","she wants to cry, but she don't want anyone to see",Invariant Don't,Counterfactual
